Customer_ID,Customer_Name,Gender,Age,City,Region,Product,Quantity,Unit_Price,Sales_Amount,Discount_Percent,Purchase_Date
CUST1000,Allison Hill,Female,58,East Jill,South,Mobile,2,98.77,197.54,5.58,2025-10-16
CUST1001,Kimberly Garza,Female,24,North Claytonbury,North,Laptop,9,219.53,1975.77,3.75,2025-06-05
CUST1002,Kristina Baldwin,Other,32,Robinsonshire,South,Camera,9,1223.94,11015.46,26.0,2024-12-11
CUST1003,Abigail Shaffer,Other,52,Petersonberg,East,Laptop,7,479.86,3359.02,30.35,2024-10-23
CUST1004,Gabrielle Davis,Male,28,West Melanieview,South,Tablet,7,713.49,4994.43,4.09,2026-01-25
CUST1005,Joe Martinez,Female,42,Millerport,East,Laptop,2,750.01,1500.02,29.19,2026-02-12
CUST1006,Stacey Ward,Female,52,Lake Chad,North,Smartwatch,2,1947.58,3895.16,11.73,2025-10-04
CUST1007,Dylan Miller,Female,58,Port Craig,South,Camera,10,1776.63,17766.3,2.78,2024-12-10
CUST1008,Roy Martin,Male,60,Jasonview,South,Laptop,4,1557.48,6229.92,15.21,2025-11-05
CUST1009,Maria Lynch,Female,47,New Jessica,South,Camera,6,367.18,2203.08,10.68,2024-09-12
CUST1010,Devin Schaefer,Male,61,Lake Mark,South,Mobile,2,1237.81,2475.62,18.49,2025-12-26
CUST1011,Crystal Johnson,Female,35,Richardland,North,Mobile,9,478.25,4304.25,32.87,2024-10-19
CUST1012,Latoya Robbins,Male,69,Lake Victor,South,Smartwatch,6,832.27,4993.62,35.05,2026-03-27
CUST1013,Judy Baker,Female,38,Lake Anna,West,Mobile,4,1328.11,5312.44,10.6,2024-11-29
CUST1014,Jessica Silva,Other,33,Jeffreyberg,West,Smartwatch,9,1101.01,9909.09,15.98,2025-06-08
CUST1015,Peter Callahan Jr.,Male,32,Port Erin,North,Laptop,3,1043.58,3130.74,6.11,2025-08-15
CUST1016,James Ferrell,Female,28,Tashatown,West,Smartwatch,7,1213.0,8491.0,39.84,2025-10-19
CUST1017,Melanie Herrera,Male,51,Kaylamouth,North,Camera,5,1943.6,9718.0,35.39,2024-08-03
CUST1018,Christopher Smith,Female,66,Teresaburgh,North,Tablet,5,1548.77,7743.85,17.39,2025-06-07
CUST1019,Sheila Evans,Other,47,East Nathaniel,East,Smartwatch,1,1909.94,1909.94,30.48,2024-09-11
CUST1020,Paula Moreno,Female,50,New Mariotown,South,Mobile,2,1747.51,3495.02,14.96,2024-08-03
CUST1021,Sherry Decker,Other,28,Johnbury,North,Smartwatch,9,1909.32,17183.88,12.97,2026-03-21
CUST1022,Angela Dennis,Female,19,Port Amandaberg,South,Laptop,2,1861.74,3723.48,9.63,2024-08-16
CUST1023,Theresa Martin,Female,54,Brandtside,North,Smartwatch,2,217.02,434.04,30.63,2025-12-16
CUST1024,Christina Collins,Male,26,Samuelhaven,East,Smartwatch,8,1896.35,15170.8,34.9,2025-04-24
CUST1025,Danny Morgan,Other,45,New Jeffrey,South,Camera,4,1861.38,7445.52,12.47,2024-07-03
CUST1026,Amy Jones,Other,60,Port Markhaven,West,Laptop,6,904.3,5425.8,9.92,2024-11-09
CUST1027,John Ryan,Other,22,Sanchezfort,South,Smartwatch,6,91.02,546.12,8.81,2026-01-26
CUST1028,Brandon Hopkins,Male,22,Rodneymouth,East,Laptop,1,496.44,496.44,20.57,2026-03-10
CUST1029,Megan Joyce,Male,35,North Richardmouth,West,Mobile,8,467.76,3742.08,31.38,2026-01-20
CUST1030,Danielle Lee,Male,69,Taylorburgh,West,Tablet,7,421.3,2949.1,16.94,2024-12-11
CUST1031,Shannon Jones,Other,47,North Deniseside,North,Laptop,1,1363.06,1363.06,16.1,2026-02-17
CUST1032,Brandon Molina,Male,39,East Richard,West,Mobile,2,534.88,1069.76,16.88,2025-05-17
CUST1033,James Brown,Male,35,Smithfurt,West,Smartwatch,8,537.12,4296.96,3.92,2024-11-30
CUST1034,Rachel Mitchell,Male,59,Mooreport,South,Mobile,9,1680.25,15122.25,16.26,2024-10-25
CUST1035,Lauren Daniels,Male,48,Brianshire,South,Headphones,4,1736.07,6944.28,0.09,2025-05-14
CUST1036,Sarah Moore,Female,42,Port Jacobland,East,Headphones,5,1856.71,9283.55,27.86,2025-10-15
CUST1037,Jennifer David,Female,64,New Brooke,South,Mobile,9,1340.65,12065.85,11.87,2025-09-02
CUST1038,Matthew Cunningham,Male,21,Sarahborough,East,Laptop,10,1484.69,14846.9,2.01,2025-10-11
CUST1039,Cynthia Foster,Other,48,Stephenland,South,Laptop,9,1842.8,16585.2,38.43,2024-05-16
CUST1040,Zachary Ferrell,Male,23,New Jasonview,South,Headphones,3,183.62,550.86,4.8,2024-08-19
CUST1041,Shirley Suarez,Male,54,Justinmouth,North,Headphones,4,1178.89,4715.56,26.29,2026-02-15
CUST1042,Elizabeth Riggs,Female,54,Lake Lisaport,South,Camera,9,666.92,6002.28,28.65,2026-05-02
CUST1043,Teresa Taylor,Other,33,North Juliaberg,East,Headphones,5,821.78,4108.9,12.65,2024-12-06
CUST1044,Daniel Cooper,Other,66,Williamview,North,Laptop,2,68.17,136.34,21.51,2026-04-12
CUST1045,Amber Walters,Female,50,Bradleymouth,North,Mobile,5,308.29,1541.45,14.78,2025-12-28
CUST1046,William Martin,Other,28,Arnoldchester,East,Smartwatch,8,1675.8,13406.4,39.35,2025-07-18
CUST1047,Benjamin Ware,Other,69,New Barry,East,Camera,9,65.26,587.34,4.14,2025-02-19
CUST1048,Brittany Anderson,Male,26,Michaelton,South,Tablet,5,275.09,1375.45,11.27,2026-04-07
CUST1049,Michael Estrada,Other,31,Kimberlychester,East,Smartwatch,6,447.01,2682.06,19.54,2025-09-03
CUST1050,Tammy Young,Female,21,Port Lisa,North,Laptop,2,1286.85,2573.7,13.34,2026-03-24
CUST1051,Christopher Middleton,Female,26,Phambury,West,Smartwatch,5,365.08,1825.4,0.39,2024-12-02
CUST1052,Michael Reyes,Female,22,Port Thomasborough,South,Headphones,3,1113.9,3341.7,5.1,2026-02-02
CUST1053,Hannah Hoover,Male,37,East Andrew,East,Mobile,6,1803.01,10818.06,27.28,2024-10-06
CUST1054,Donald Jones,Other,60,Michaelhaven,West,Smartwatch,2,739.67,1479.34,29.98,2025-03-15
CUST1055,Sarah Rivera,Male,33,North Natalieview,West,Laptop,3,1953.6,5860.8,7.17,2024-09-24
CUST1056,Victoria Johnson,Other,39,Reedmouth,South,Tablet,7,1614.36,11300.52,6.37,2025-04-12
CUST1057,Kayla Cruz,Male,62,West Bradley,West,Mobile,2,795.96,1591.92,7.98,2025-04-12
CUST1058,Timothy Ryan,Male,47,West Ryan,South,Laptop,6,645.12,3870.72,26.4,2025-10-06
CUST1059,Lisa Alvarado,Male,43,Lake Rachelhaven,East,Tablet,6,593.28,3559.68,25.66,2025-01-04
CUST1060,Erika Terry,Male,43,East Robert,North,Tablet,9,695.74,6261.66,7.14,2026-05-09
CUST1061,Paul Thompson,Female,34,Richardtown,East,Camera,1,261.38,261.38,31.46,2024-12-31
CUST1062,Jeffrey Carpenter,Male,45,Stevenmouth,West,Smartwatch,10,1969.26,19692.6,7.6,2025-10-15
CUST1063,John Santana,Other,20,Lake Christopher,South,Tablet,7,53.3,373.1,17.25,2025-06-13
